id,name,description,price,category,stock_count,features
24,"Pulse Active","The Pulse Active is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",279.00,Smartwatch,400,"Sleep Tracking, Water Resistant 50m, GPS Tracking"
25,"Stryker RGB","The Stryker RGB is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",99.99,Gaming Keyboard,150,"N-Key Rollover, RGB Lighting, Mechanical Switches"
26,"Eagle Mini","The Eagle Mini is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",499.00,Drone,65,"Obstacle Avoidance, 3-Axis Gimbal, 4K Video"
27,"Clarity OLED","The Clarity OLED is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1299.00,Monitor,95,"Adjustable Stand, HDR10 Support, 4K Resolution"
28,"Slate Max","The Slate Max is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1099.00,Tablet,120,"Apple Pencil Support, Liquid Retina Display, M2 Chip"
29,"Surge AX6000","The Surge AX6000 is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",399.99,Router,110,"8 Gigabit Ports, WPA3 Security, Mesh Network Support"
30,"Pixel R5","The Pixel R5 is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",3299.00,Camera,40,"In-Body Image Stabilization, Full-Frame Sensor, 45MP Resolution"
31,"Cyber G5","The Cyber G5 is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",789.50,Smartphone,210,"5G Connectivity, Triple-Camera System, Wireless Charging"
32,"Fusion Creator","The Fusion Creator is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2650.00,Laptop,45,"1TB NVMe SSD, Intel Core i9, NVIDIA RTX 4080"
33,"Stealth One","The Stealth One is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",149.99,Headphones,220,"Built-in Microphone, Hi-Res Audio, Active Noise Cancellation"
34,"Apex SE","The Apex SE is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",219.00,Smartwatch,350,"Fall Detection, Heart Rate Monitor, ECG App"
35,"Blade Mechanical","The Blade Mechanical is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",159.99,Gaming Keyboard,70,"Detachable Wrist Rest, Programmable Macros, N-Key Rollover"
36,"Orion Explorer","The Orion Explorer is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1199.00,Drone,35,"GPS Return-to-Home, 30-Min Flight Time, Obstacle Avoidance"
37,"Aura Curved","The Aura Curved is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",899.99,Monitor,130,"USB-C Hub, 144Hz Refresh Rate, 34-inch Ultrawide"
38,"Surface Go","The Surface Go is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",499.00,Tablet,250,"USB-C Connector, 12MP Ultra Wide Camera, Liquid Retina Display"
39,"Omni Gaming","The Omni Gaming is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",449.50,Router,90,"Parental Controls, 8 Gigabit Ports, WiFi 6E Technology"
40,"Focus Mark II","The Focus Mark II is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2999.00,Camera,60,"Dual Card Slots, In-Body Image Stabilization, 8K Video Recording"
41,"Echo X1","The Echo X1 is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",899.99,Smartphone,150,"OLED Display, Face ID, All-day battery"
42,"Chrono Stealth","The Chrono Stealth is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2199.00,Laptop,60,"Backlit Keyboard, Thunderbolt 4, 16GB DDR5 RAM"
43,"Rift Go","The Rift Go is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",99.99,Headphones,400,"Bluetooth 5.3, ComfortFit Design, 30-Hour Battery"
44,"Link GPS","The Link GPS is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",399.00,Smartwatch,280,"Water Resistant 50m, GPS Tracking, Sleep Tracking"
45,"Phantom Wireless","The Phantom Wireless is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",199.99,Gaming Keyboard,55,"RGB Lighting, Mechanical Switches, Detachable Wrist Rest"
46,"Aero FPV","The Aero FPV is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1799.00,Drone,20,"4K Video, 3-Axis Gimbal, GPS Return-to-Home"
47,"Infinity 144Hz","The Infinity 144Hz is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",649.00,Monitor,150,"HDR10 Support, 4K Resolution, Adjustable Stand"
48,"Note Plus","The Note Plus is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",899.00,Tablet,170,"M2 Chip, Apple Pencil Support, USB-C Connector"
49,"Beam Pro","The Beam Pro is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",199.99,Router,170,"WPA3 Security, Mesh Network Support, Parental Controls"
50,"Shot Z7","The Shot Z7 is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",3499.00,Camera,30,"45MP Resolution, Full-Frame Sensor, Dual Card Slots"
51,"Quantum Max","The Quantum Max is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1399.00,Smartphone,80,"Triple-Camera System, 5G Connectivity, Wireless Charging"
52,"Apex Pro X","The Apex Pro X is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2999.00,Laptop,25,"NVIDIA RTX 4080, Intel Core i9, 1TB NVMe SSD"
53,"Echo Studio","The Echo Studio is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",349.99,Headphones,150,"Hi-Res Audio, Active Noise Cancellation, Bluetooth 5.3"
54,"Chrono Series 8","The Chrono Series 8 is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",549.00,Smartwatch,200,"ECG App, Fall Detection, Heart Rate Monitor"
55,"Cyber Elite","The Cyber Elite is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",189.95,Gaming Keyboard,75,"Programmable Macros, N-Key Rollover, Mechanical Switches"
56,"Sky Pro","The Sky Pro is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1299.00,Drone,38,"Obstacle Avoidance, 30-Min Flight Time, 4K Video"
57,"Vision UWQHD","The Vision UWQHD is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1099.50,Monitor,100,"34-inch Ultrawide, USB-C Hub, 144Hz Refresh Rate"
58,"Tab Air","The Tab Air is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",699.00,Tablet,220,"12MP Ultra Wide Camera, M2 Chip, Liquid Retina Display"
59,"Net Mesh","The Net Mesh is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",299.99,Router,140,"WiFi 6E Technology, WPA3 Security, 8 Gigabit Ports"
60,"Lumo Mirrorless","The Lumo Mirrorless is a a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2899.00,Camera,45,"8K Video Recording, In-Body Image Stabilization, 45MP Resolution"
61,"Nova Z9","The Nova Z9 is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1050.25,Smartphone,135,"All-day battery, Face ID, OLED Display"
62,"Titan Air","The Titan Air is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1750.00,Laptop,70,"Thunderbolt 4, Backlit Keyboard, 16GB DDR5 RAM"
63,"Sonic ANC","The Sonic ANC is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",219.99,Headphones,280,"30-Hour Battery, ComfortFit Design, Active Noise Cancellation"
64,"Vita Fit","The Vita Fit is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",319.00,Smartwatch,330,"Sleep Tracking, Water Resistant 50m, GPS Tracking"
65,"Raptor TKL","The Raptor TKL is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",119.99,Gaming Keyboard,95,"Detachable Wrist Rest, RGB Lighting, N-Key Rollover"
66,"Falcon 4K","The Falcon 4K is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",999.00,Drone,55,"GPS Return-to-Home, 3-Axis Gimbal, Obstacle Avoidance"
67,"Spectra 4K","The Spectra 4K is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",849.00,Monitor,120,"Adjustable Stand, HDR10 Support, 4K Resolution"
68,"Pad Pro","The Pad Pro is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1199.00,Tablet,130,"USB-C Connector, Apple Pencil Support, M2 Chip"
69,"Link AX6000","The Link AX6000 is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",379.50,Router,100,"Parental Controls, Mesh Network Support, WiFi 6E Technology"
70,"Capture DSLR","The Capture DSLR is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1999.00,Camera,65,"Dual Card Slots, Full-Frame Sensor, In-Body Image Stabilization"
71,"Astro Pro","The Astro Pro is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",988.40,Smartphone,105,"Wireless Charging, 5G Connectivity, Triple-Camera System"
72,"Zenith Creator","The Zenith Creator is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2799.00,Laptop,35,"1TB NVMe SSD, NVIDIA RTX 4080, Intel Core i9"
73,"Aura One","The Aura One is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",179.99,Headphones,240,"Built-in Microphone, Hi-Res Audio, Bluetooth 5.3"
74,"Pulse SE","The Pulse SE is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",249.00,Smartwatch,380,"Fall Detection, ECG App, Heart Rate Monitor"
75,"Stryker Mechanical","The Stryker Mechanical is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",149.99,Gaming Keyboard,80,"N-Key Rollover, Programmable Macros, Mechanical Switches"
76,"Eagle Explorer","The Eagle Explorer is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1399.00,Drone,30,"4K Video, 30-Min Flight Time, GPS Return-to-Home"
77,"Clarity Curved","The Clarity Curved is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",949.99,Monitor,115,"144Hz Refresh Rate, USB-C Hub, 34-inch Ultrawide"
78,"Slate Go","The Slate Go is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",549.00,Tablet,230,"Liquid Retina Display, 12MP Ultra Wide Camera, USB-C Connector"
79,"Surge Gaming","The Surge Gaming is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",499.99,Router,80,"8 Gigabit Ports, WPA3 Security, Parental Controls"
80,"Pixel Mark II","The Pixel Mark II is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",3199.00,Camera,55,"8K Video Recording, 45MP Resolution, Dual Card Slots"
81,"Cyber X1","The Cyber X1 is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",850.00,Smartphone,180,"OLED Display, All-day battery, Face ID"
82,"Fusion Stealth","The Fusion Stealth is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2350.00,Laptop,50,"16GB DDR5 RAM, Backlit Keyboard, Thunderbolt 4"
83,"Stealth Go","The Stealth Go is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",89.99,Headphones,450,"ComfortFit Design, 30-Hour Battery, Bluetooth 5.3"
84,"Apex Active","The Apex Active is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",299.00,Smartwatch,310,"GPS Tracking, Water Resistant 50m, Sleep Tracking"
85,"Blade Wireless","The Blade Wireless is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",209.99,Gaming Keyboard,50,"Mechanical Switches, Detachable Wrist Rest, RGB Lighting"
86,"Orion FPV","The Orion FPV is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1899.00,Drone,18,"3-Axis Gimbal, GPS Return-to-Home, 4K Video"
87,"Aura OLED","The Aura OLED is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1399.00,Monitor,75,"4K Resolution, Adjustable Stand, HDR10 Support"
88,"Surface Plus","The Surface Plus is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",949.00,Tablet,160,"M2 Chip, USB-C Connector, Apple Pencil Support"
89,"Omni Pro","The Omni Pro is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",229.99,Router,160,"Mesh Network Support, Parental Controls, WPA3 Security"
90,"Focus Z7","The Focus Z7 is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",3399.00,Camera,32,"Full-Frame Sensor, In-Body Image Stabilization, 45MP Resolution"
91,"Echo Pro","The Echo Pro is a state-of-the-art smartphone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",999.99,Smartphone,140,"5G Connectivity, Wireless Charging, Triple-Camera System"
92,"Chrono Ultra","The Chrono Ultra is a state-of-the-art laptop featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",2950.00,Laptop,32,"Intel Core i9, 1TB NVMe SSD, NVIDIA RTX 4080"
93,"Rift ANC","The Rift ANC is a state-of-the-art headphones featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",279.99,Headphones,190,"Active Noise Cancellation, Hi-Res Audio, Built-in Microphone"
94,"Link Series 8","The Link Series 8 is a state-of-the-art smartwatch featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",599.00,Smartwatch,180,"ECG App, Heart Rate Monitor, Fall Detection"
95,"Phantom RGB","The Phantom RGB is a state-of-the-art gaming keyboard featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",139.99,Gaming Keyboard,100,"N-Key Rollover, Mechanical Switches, Programmable Macros"
96,"Aero Mini","The Aero Mini is a state-of-the-art drone featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",599.00,Drone,70,"Obstacle Avoidance, 30-Min Flight Time, 3-Axis Gimbal"
97,"Infinity Curved","The Infinity Curved is a state-of-the-art monitor featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1049.00,Monitor,105,"34-inch Ultrawide, 144Hz Refresh Rate, USB-C Hub"
98,"Note Max","The Note Max is a state-of-the-art tablet featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",1149.00,Tablet,140,"Liquid Retina Display, M2 Chip, 12MP Ultra Wide Camera"
99,"Beam WiFi 6E","The Beam WiFi 6E is a state-of-the-art router featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",279.99,Router,150,"WiFi 6E Technology, 8 Gigabit Ports, Mesh Network Support"
100,"Shot R5","The Shot R5 is a state-of-the-art camera featuring top-tier performance and a sleek design. Perfect for professionals and enthusiasts alike.",3099.00,Camera,48,"8K Video Recording, Dual Card Slots, Full-Frame Sensor"
